51924	-30912	-5	3
-30821	20813	3	-2
10545	-51602	-1	5
-10126	-41248	1	4
-30829	-30907	3	3
-51495	20817	5	-2
10548	-41256	-1	4
41578	-51599	-4	5
-41203	-51602	4	5
31253	-10214	-3	1
-20457	-30908	2	3
-10147	51848	1	-5
-51502	-20558	5	2
41615	-10222	-4	1
-41182	-30906	4	3
20912	-10216	-2	1
20869	-20566	-2	2
10555	41510	-1	-4
-30835	10472	3	-1
-20487	41505	2	-4
-20511	-41249	2	4
20913	20822	-2	-2
-30824	10469	3	-1
10567	10472	-1	-1
31238	31166	-3	-3
-41186	-10219	4	1
-41169	-51602	4	5
51947	-20564	-5	2
41562	-10219	-4	1
-10155	20821	1	-2
20884	-51598	-2	5
20907	41505	-2	-4
10579	51848	-1	-5
41586	-30905	-4	3
-30859	-41248	3	4
20864	10475	-2	-1
20876	-30908	-2	3
10543	-41248	-1	4
31246	-51598	-3	5
-30833	41503	3	-4
-20473	-51595	2	5
31265	-30904	-3	3
-51493	31158	5	-3
51947	20821	-5	-2
-41166	-30912	4	3
-30813	41508	3	-4
-41198	-51601	4	5
-10151	20819	1	-2
51907	51854	-5	-5
-10158	-41254	1	4
-41170	-41249	4	4
51907	51856	-5	-5
41586	-10216	-4	1
31246	-20560	-3	2
-30826	-10217	3	1
10569	51848	-1	-5
-20484	-30912	2	3
10559	41510	-1	-4
41555	31167	-4	-3
20877	-30911	-2	3
-51549	20822	5	-2
-51551	51856	5	-5
-10163	10476	1	-1
-51530	-10222	5	1
31241	20817	-3	-2
-51514	20822	5	-2
-41155	31158	4	-3
41565	10468	-4	-1
51949	41503	-5	-4
20874	10468	-2	-1
41611	-41253	-4	4
-30813	-30906	3	3
41574	41511	-4	-4
51931	51856	-5	-5
-20508	-10220	2	1
20891	-41253	-2	4
31249	31159	-3	-3
41579	31162	-4	-3
-51527	51853	5	-5
-30826	20819	3	-2
-20508	10471	2	-1
-20472	10476	2	-1
51924	41507	-5	-4
-30837	-51600	3	5
-20487	41512	2	-4
-51499	41512	5	-4
-51508	-30910	5	3
-20483	-20566	2	2
-20516	-51596	2	5
20924	-30908	-2	3
-10144	-41257	1	4
-41154	-41257	4	4
51902	-20558	-5	2
41610	-10216	-4	1
51917	-41248	-5	4
-20459	31158	2	-3
20884	31162	-2	-3
-20506	-30908	2	3
-51533	-30903	5	3
-10168	-30912	1	3
20904	41506	-2	-4
-51551	31163	5	-3
-20500	-51595	2	5
31251	-20561	-3	2
-41186	-51595	4	5
-20496	31163	2	-3
-20458	-41257	2	4
41554	-41255	-4	4
-51511	31163	5	-3
-51535	20821	5	-2
-30853	-41249	3	4
20912	-51597	-2	5
10527	-30903	-1	3
41587	41505	-4	-4
